0	0.00000000
1	-0.17551517
2	0.41551661
3	-0.62009096
4	0.06570959
5	-0.78133392
6	-1.17955065
7	-0.58355713
8	-1.31165957
9	-0.85693598
10	-2.43628955
11	-0.09610343
12	-0.41495347
13	-0.58917785
14	-0.28968191
15	-0.39124799
16	-0.49584794
17	-1.08664203
18	-1.19682288
19	-1.32091403
20	-1.28791165
21	-1.34622669
22	-1.35020852
23	-1.42008018
24	-1.37276196
25	-1.37707520
26	-1.47135854
27	-1.37570000
28	-1.44766140
29	-1.28623343
30	-1.62559628
31	-1.41562128
32	-1.17129779
33	-1.36921668
34	-1.27867794
35	-1.24013352
36	-1.31146002
37	-1.32102203
38	-1.41518712
39	-1.30659509
40	-1.36315894
41	-1.34782100
42	-1.31099916
43	-1.43434072
44	-1.41803694
45	-1.40967035
46	-1.43793178
47	-1.40600276
48	-1.39274049
49	-1.54231668
50	-1.53137541
51	-1.37981796
52	-1.47606325
53	-1.46306825
54	-1.57898164
55	-1.56794095
56	-1.21608520
57	-1.20028377
58	-1.32475328
59	-1.23987794
60	-1.41905999
61	-1.54636669
62	-1.38973141
63	-1.46418929
64	-1.37825274
65	-1.40496683
66	-1.28620076
67	-1.31099892
68	-1.31896973
69	-1.20537066
70	-1.40556169
71	-1.56278920
72	-1.37246990
73	-1.30565286
74	-1.63353491
75	-1.34088707
76	-1.24643350
77	-1.44002080
78	-2.04655504
79	-1.18042421
80	-0.98808599
81	0.17338181
82	-0.01826787
83	1.24145198
84	0.72549653
85	1.13456511
86	1.57332635
87	1.12463331
88	0.17099619
89	-1.34286380
