0	0.00002241
1	-0.00019141
2	-0.00022539
3	-0.00120880
4	-0.00161117
5	-0.00733284
6	-0.01481499
7	-0.00096793
8	-0.00088422
9	-0.00447755
10	-0.00260526
11	-0.00595846
12	-0.00935960
13	-0.01443657
14	-0.01819135
15	-0.01654252
16	-0.03368706
17	-0.02298539
18	-0.02489291
19	-0.02754615
20	-0.02709937
21	-0.02924096
22	-0.02165395
23	-0.03036625
24	-0.03593674
25	-0.03592761
26	-0.03996882
27	-0.03999334
28	-0.03742460
29	-0.03860316
30	-0.00321831
31	-0.03438920
32	-0.05659742
33	-0.06915335
34	-0.06401651
35	-0.06177879
36	-0.05857381
37	-0.06235533
38	-0.05172699
39	-0.06864855
40	-0.07718038
41	-0.08338224
42	-0.09791899
43	-0.09060523
44	-0.08274997
45	-0.08778053
46	-0.09505790
47	-0.12131211
48	-0.13804919
49	-0.12795618
50	-0.10963358
51	-0.08551676
52	-0.08299701
53	-0.09083595
54	-0.06931836
55	-0.06973859
56	-0.09415439
57	-0.07792983
58	-0.07835362
59	-0.07317768
60	-0.06453603
61	-0.05050697
62	-0.05071821
63	-0.04612880
64	-0.06367477
65	-0.06076410
66	-0.06264993
67	-0.05251348
68	-0.03769402
69	-0.02737367
70	-0.03362748
71	-0.02848665
72	-0.02863799
73	-0.02042041
74	-0.00789965
75	-0.00388194
76	0.00181343
77	-0.00155433
78	-0.00314163
79	-0.00451123
80	-0.00509079
81	-0.00387104
82	-0.00146873
83	0.00008902
84	0.00022129
85	-0.00038404
86	-0.00140528
87	0.00005991
88	0.00002250
89	0.00000000
