0         	-0.356194 
1         	0.906730  
2         	6.041539  
3         	0.467381  
4         	2.879070  
5         	3.073075  
6         	2.627707  
7         	0.476247  
8         	-0.210551 
9         	2.602699  
10        	0.796647  
11        	1.344011  
12        	1.528319  
13        	0.876785  
14        	0.898489  
15        	0.696637  
16        	1.400823  
17        	1.414985  
18        	0.949350  
19        	1.478711  
20        	1.150690  
21        	-0.211736 
22        	0.456684  
23        	1.165695  
24        	1.042369  
25        	2.115444  
26        	2.336269  
27        	2.055421  
28        	1.810265  
29        	2.159060  
30        	-1.402177 
31        	1.074356  
32        	0.344280  
33        	0.209842  
34        	-0.796732 
35        	-2.119734 
36        	-0.103701 
37        	-0.880636 
38        	0.036556  
39        	0.221148  
40        	-0.044337 
41        	-1.081805 
42        	-0.973103 
43        	-0.377271 
44        	-0.036374 
45        	0.000000  
46        	0.148780  
47        	0.484816  
48        	0.329835  
49        	-0.758843 
50        	-0.698398 
51        	-1.522022 
52        	-1.332275 
53        	0.328344  
54        	0.143811  
55        	-0.565464 
56        	-0.480565 
57        	-1.501228 
58        	-1.502993 
59        	-1.123256 
60        	-0.445074 
61        	-0.053073 
62        	-0.376522 
63        	0.784494  
64        	-0.097612 
65        	0.603524  
66        	1.184138  
67        	0.653502  
68        	-0.671073 
69        	0.213641  
70        	2.240602  
71        	3.308729  
72        	3.309661  
73        	3.670677  
74        	1.746195  
75        	1.311566  
76        	0.214402  
77        	4.699815  
78        	7.886552  
79        	2.733314  
80        	0.869830  
81        	1.598096  
82        	1.751945  
83        	3.285119  
84        	1.929702  
85        	-4.937680 
86        	8.744118  
87        	8.744118  
88        	8.744118  
89        	8.744118  
